tweet,label
"http://t.co/hx9WQprX6L #Pamplona http://t.co/hx9WQprX6L باراك أوباما يشجع إبنتيه على الإلتحاق بالجيش http://t.co/hx9WQprX6L
",positive
"وديع اليمني-تلاوة جميلة من تراويح الليلة ١٣ من رمضان ١٤٣٧هـ بجامع الراشد... http://t.co/qLtB5fp9DH عبر @etaylor
",positive
"RT @rebecca96: والله لن ولن أنساها ولو أزدادت السنين عن ذكرى المباراة فَ ذكراها للأمد وللأبد باقية في الذاكرة، لا لمحيها بوجود ريال مدريد…
",positive
"RT @lawrencejames: #أبل تسجل فوزا غير متوقع على #سامسونغ!؟http://t.co/zpnehEt9BS http://t.co/zpnehEt9BS
",positive
"RT @milleredwin: والعراقي يلّي بلا شرف هربان من قتال داعش في وطنه حتى يفطس في قتال أهل حلب
",negative
"عمليات الأنبار تحرر جزيرة هيت بالكامل من مجرمي داعش  إذاعة #البيان  http://t.co/fDQFM68VEp :
",positive
"أرسنال يراقب خريج الريال: ذكرت تقارير أن أرسنال يراقب عن كثب لاعب وسط واعد في ريال مدريد اسم... http://t.co/qLEDI9TfP1 #C7_ae #دولي
",neutral
"دعوة الست قصده هيلاري كلنتون مثلا
",neutral
"RT @pamelalopez: سيسي إيه اللي انت جاي تقول عليه دة الدولار ب14 جنية😂😂
",negative
"@michaelmorgan @michaelmorgan @michaelmorgan @michaelmorgan @michaelmorgan هههه الطائي قلب علينا وصار كومدياااني...يقطع شرك روح وتحمم وادخل الاسلام من جديد
",negative
"استعد لهاتف Moly X1 بنظام ويندوز 10 بدعم من منصة Indiegogo - http://t.co/KnXLgzFwve http://t.co/KnXLgzFwve
",positive
"RT @dgreen: خدعوك فقالوا تلفاز ذكي-جوجل-أبل-كروم كاست http://t.co/yeUk0CgVnp
",negative
"إيقاف عنصرين مناصرين لـ ""داعش"" بطانطان وكلميم، أحدهما شقيق... http://t.co/JGXFRvi2qz
",neutral
"RT @fboone: ﺍﻵﻥ ﻳﻨﻬﺾ ﺗﺤﺪﻱ ﺇﻳﺮﺍﻥ، ﻭﻓﻴﻤﺎ ﻛﺎﻥ ﺍﻟﻄﺒﻴﻌﻲ ﺃﻥ ﺗﻘﻮﺩ ﻣﺼﺮ ﺍﻟﻤﻮﺍﺟﻬﺔ ﺑﺠﺎﻧﺐ ﺍﻟﺴﻌﻮﺩﻳﺔ، ﺃﺧﺬ ﺍﻟﺴﻴﺴﻲ ﻣﻮﻗﻔﺎ ﺁﺧﺮ ﻻﻋﺘﺒﺎﺭﺍﺕ ﺗﺨﺼﻪ ﺷﺨﺼﻴﺎ ﺃﻛﺜﺮ ﻣﻦ…
",negative
"RT @kingbrandon: أبل والجسار: توفير الخدمات العامة لأهالي مدينة صباح الأحمد http://t.co/kndRsurwQh http://t.co/kndRsurwQh
",positive
"Shoppinz: أبل وسامسونج وجهًا لوجه في المحكمة العليا لوضع حد لنزاع براءات الاختراع http://t.co/5234XULplJ
",neutral
"#90دقيقة | ""معتز بالله عبدالفتاح""المناظرة الاخيرة فى صالح #هيلاري_كلنتون... http://t.co/JqSlWVBEc4
",positive
"- هاتف #جوجل يحتوي على أفضل كاميرا صُنعت على الإطلاق إل http://t.co/a02c1AowMn #قولي http://t.co/a02c1AowMn
",positive
"@sanfordsean @sanfordsean @sanfordsean فيه امازون وفي G2 وفيه مواقع ثانية تبيع لك بنص سعر اللعبة الرسمي
",positive
"سيعلن جوليان أسانج مؤسس منظمة ويكليكس و من لندن عن فضيحة يقول انها ستحطم ☠هيلاري كلنتون و تنهي عائلة كلنيون. #تاسي #كويت #بورصة #فوركس
",negative
"RT @gjones: المهاجر أبوحمزه الشيعي العراقي🔴من قلب محروق يهاجم حكومة اللصوص وأصحاب العمائم عصابات #العراق #بغداد #البصره #كربلاء #النجف…
",negative
"RT @gail51: مذيع يخدع المارة ويعلن أن #هيلاري_كلنتون انسحبت من الترشيح للرئاسة الأمريكية وأن #ترامب هو الرئيس !..شاهد ردة فعل المارة…
",neutral
"#صور: تعرف على الشركات الأعلى قيمة في العالم#اقتصادhttp://t.co/N2GACyHD9k http://t.co/N2GACyHD9k
",positive
"RT @katherineburnett: #المرصد_الايراني#اقتصاد | إيران توفر فرص عمل للوافدين على غرار المواطن""ترجمة خاصة""http://t.co/mt3qPxajwA
",positive
"RT @emily71: اذا تذكرت انك بتداوم لين ٢٠ رمضان : http://t.co/zxmcK03FAJ
",neutral
"@nelsondustin الدعاية التجارية ترفع الكتاب ولو كان المضمون تافه او غير مفيد، مثل سلسلة هاري بوتر وغيرها،فبعض الناس تبحث عن ما لا يجعله يفكر
",negative
"نادين قالتلى هجبلك ايفون في عيد ميلادك ✋✋ و انا بصدقها 😂😂
",positive
"RT @danielhudson: والعبادى نسى انه مجرد موظف لدى امريكاحتى اوباما مابيسلمش عليه مثل السيسى😁فكان رد اردغان عليه باختصار(ياهذا انت مجرد حشره)
",negative
"@john12 ابي كتاب هاري بوتر :( لمن نقلنا بيتنا ذا ضاع الصندوق الي فيه كتبي 😭😭😭😭😭
",neutral
"خريطة: مساحة احتلال داعش تتقلص بسرعة  ولاية #ديالى  http://t.co/CTw2Qx4hWE  :
",positive
"متش ناااااااااااار..... فينك يا ميسى 󾍀 - يشاهد مباراة الارجنتين وباراجواي
",positive
"RT @whitemichael: في ليلة فاقت الوصف من جمالها يٌحلق في سورة غافر الشيخ عبدالله الجهني ليلة ال٢٣ من رمضان ١٤٣٢ هـ http://t.co/hYy8CaX1Qn
",positive
"كيري يهاجم #روسيا لدعمها نظام #الأسد.. ويؤكد أنّ #واشنطن لم تتخل عن مساعي السلام#امريكا #سوريا #بشار #السعودية… http://t.co/erWqNt9RFG
",negative
"محامي عماني: بشار الأسد يدافع عن بلده بصمود أسطوري والجيش السوري يدافع عن الجميع http://t.co/KT7fgujMFw http://t.co/KT7fgujMFw
",positive
"شاهد الاناحتفال لاعبين برشلونة بلقب الدوري الاسباني2016 ونزول الجماهير الي ارض ...http://t.co/kYmTZHtodU http://t.co/kYmTZHtodU
",positive
"ترامب يتهم الجمهوريين بالحاق الضرر بحملته: واشنطن (أ ف ب) - اتهم دونالد ترامب الثلاثاء نظراءه الجمهوريين بقلة... http://t.co/ahXj6sDUNd
",negative
"«الإسكندرانية» الأكثر بحثًا عن «طريقة عمل العاشورا» على «جوجل»http://t.co/vHuby4o2ia http://t.co/vHuby4o2ia
",neutral
"RT @oburke: السعودية تدعو لخفض انبعاثات غازات الاحتباس الحراري.. وتؤكد اعتمادها العديد من الاستراتيجيات http://t.co/zXWcCL6aMf @oburke
",positive
"RT @steven73: معلومةكان صوم يوم عاشوراء واجباً في الابتداء قبل أن يُفرض رمضان فلما فرض رمضان فمن شاء صام عاشوراء ومن شاء ترك.
",positive
"RT @vlee: #أيران #السعودية #الكويت القبض على أيراني تابع للحرس الثوري حاول تفجير حسينية في #العراقحقيقة #داعش المجوسية  http://t.co/yrRtHSEJCO
",negative
"RT @stewartkayla: كل قطرة دم برقابكميا…أحرار الشاميا…جند الأقصىيا…ثوار #سوريالم تعد ثورتكم ثورةبل مقاومة مُحتلإنكم أمام إحتلال روسي…إي…
",negative
"@qrobinson @qrobinson @qrobinson ومن شردهم هالمليونيينيالذكيه انتيمن يقصف حلب يوميا؟؟
",negative
"RT @holly06: الباقي:هو وحده له البقاء، الدائم الوجود الموصوف بالبقاء الأزلي، غير قابل للفناء فهو الباقي بلا انتهاء""٩٦""اللي يحفظه رتويت…
",positive
"RT @kristin74: #تسريب جديد لـ #هيلاري_كلينتون تتهم فيه #السعودية و #قطر بدعم #داعشhttp://t.co/tjNCJckxb7 http://t.co/tjNCJckxb7
",negative
"RT @jeremy84: عاشت فلسطين حرة عربيةوإنها لثورة حتى تدمير حلب وعدن وصنعاء وبغداد والموصل😂😂😂بعدين نشوف فلسطين
",negative
"أسرع هاتف أندرويد في الولايات المتحدةهاشتاق عربي- إذا كنت ترغب في الحصول على أسرع هاتف ي… http://t.co/Ow3oMEKv0Y http://t.co/Ow3oMEKv0Y
",positive
"RT @jeremiahschultz: ١- توقع السيد نصرالله ان أرد عليه في نهاية خطابه الا انه رد على نفسه بنفسه. وكلامه ينطبق حرفيا على ما تقوم به ايران في سوري…
",negative
"RT @maria15: ورب ظلوم كفيت بحربهفَأَوْقَعَهُ الْمَقْدُورُ أيَّ وُقُوعِفما كان لي الإسلام إلا تعبداوَأدْعِيَة ً لا تُتَّقَى بِدُرُوعِ…
",positive
"خاطري اعرف ليش كل الشباب يكرهو جستن بيبر 😂! يعني حتى انا ما يعجبني بس احس عادي
",negative
"RT @bennettwilliam: نايف الشعلان إللي تشتريه بالرز يبيعك بالفول  #مصر_تصوت_لصالح_المشروع_الروسي  #سوريا    http://t.co/x0cjZ9mOer
",negative
"RT @edickerson: عند زيارة المجرم بوتين لتركيا ولقاءه مع اردوغان#المفك وباقي شلة الاخونجية #حريم_السلطانلا ارى !لا اسمع !لا اتكلم ! http://t.co/wDcxLRJQmf
",negative
"RT @vfernandez: عن شعوري و انت مش معايا يا كاريكا و نفسك تحضر رمضان بس انت في مكان احسن .. وحشتني ضحكتك😢#رمضانك_في_الجنه_يا_كاريكا ❤
",neutral
"RT @wflores: اذا كان الاٍرهاب اختراع صهيوني أمريكي..فالمصنع في السعوديه والممول من قطر والسعوديه والمادة الخام من كل دول التخلف الاسلامي..
",negative
"RT @vramirez: #erdogan_is_isisتاريخ اجداد اردوغان هو القتل والسبي والمجازر بحق الشعوب الحرة.وابادة الارمن والفرمانات ضد الاقليات اكبر د…
",negative
"RT @raymaria: 🔴🔴للبيع بوكيمون🔴🔴🔴🕳🕳🕳🕳🕳🕳🕳🕳🕳🕳🕳🔴 http://t.co/J7YAOwfnmP
",neutral
"@lopezkristen @lopezkristen  اتفق معك بأن مرسي و سيسي شأن مصري و سعودي سياسيا بتأييد واضح  للسيسي والدولة تعرف من معها و من ضدها
",positive
"RT @dpalmer: @dpalmer @dpalmer @dpalmer @dpalmer ليس واحد بل ثلاثه  صالح ... بشار ...سيسي
",negative
"RT @fanderson: #مصر_تصوت_لصالح_المشروع_الروسيده رئيس مصر اما من يدعى سيسي فهو انقلابى ايدتموه على حساب ارادة المصريين ثم انتم الان تصرخون م…
",negative
"ﺇﺫﺍ ﻧﻄﻖ ﺍﻟﺰﻋﻴﻢ ﻓﻼ ﺗﺠﺒﻪُ               ﻓﺨﻴﺮٌ ﻣﻦ ﺇﺟﺎﺑﺘﻪ ﺍﻟﻌﺴﻴﺮﻱﻭﻻﺗﺮﻛﻦ ﻋﻠﻰ ﺇﻳﺮﺍﻥ ﻳﻮﻣﺎً    ﻭﻻﺗﻮﻧﻲ ﺑﻠﻴﺮ ﺃﻭ ﺟﻮﻥ ﻛﻴﺮﻱﺃﺭﻯ ﺍﻟﻤﺨﻠﻮﻉ ﻓﻲ ﺍﻟﺘﻠﻔﺎﺯ ﻳﻬﺬ
",negative
"ماذا قالت نجمة #بوليوود #جاكلين عن #بيونسيه؟ http://t.co/Yeo5KaF26Z http://t.co/Yeo5KaF26Z
",neutral
"RT @ubrown: @ubrown @ubrown امكم النجسه ايران هي ام الارهاب تتبنى الانجاس الدواعش والقاعده والحشد القذر والمليشيات ال…
",negative
"#beINmatchpoint  ما أحب اغرّد خارج عن ميلان بس يأخي والله مفتقدين #فيدرر ومفتقدين تعليقك على مبارياته يالشطي ما نقدر نتخيل التنس بدونكم
",positive
"اغنية جونقكوك تحسوها زي كونسبت اغاني جستن بيبر من كثر مايحبه ويسوي كوفرات له اغنيته طلعت زي اسلوب جستن في اخر البوم له
",positive
"أغنية جوجل لنسخة أندرويد الجديدة M http://t.co/foQ5p0TDFM
",positive
"دعوى قضائية ضد ""أبل"" تتهمها بالاحتيال على المستخدمين http://t.co/7aZTLpRvPh #البحرين #الكويت #السعودية #الإمارات #قطر #عمان #المنامة #تكن…
",negative
"بيونسيه بالروج الغامق تطلع من بعد اخر حلوة مرة م تقدر عيوننا البشرية استيعاب جمالها نقوم م نشوف
",positive
"نزلت ويندوز 10 ولسه بقول هييه لقيته 32 bit والجهاز 64 
",negative
"@villaangela @villaangela كانه هاري بوتر😂💔💔
",positive
"للمحافظة على جمال شعرك ينصح بغسل الشعر مره واحده عند الإستحمام، وتخفيف الشامبو بالماء قبل وضعه على الشعر #ريال_مدريد
",positive
"RT @charles97: غوميز : عن ليونيل ميسي - ماذا يمكنني أن أقول عنه؟  ليو لاعب يعرفه الجميع ، يفعل أشياء غير عادية !
",positive
"@lopeztamara  وتدري ان خاطري بجنطة شانيل معاها جنطة غوتشي مع جوتيها  وبوك من لويس فيتون ...
",positive
"RT @nicholas60: أحبتي ربنا أكرمنا بمواسم تغفر فيها الذنوب والمعاصي رحل رمضان وست شوال ويوم عرفه وننتظر يوم عاشوراء فماذا أعددنا له؟ http://t.co/7atormhzDi
",positive
"حل مشاكل أندرويد بعد التحديث الأخير http://t.co/cgo6bE9um7
",positive
"RT @ricardovaldez: شبكة #شام الإخبارية|| سورية ومأساتهابقلم: وليد البني http://t.co/MPprV6kQ1H
",negative
"ودي البس عباءة الإخفاء حقة هاري بوتر واروح اعيش يوم مع اللي احبهم اشوف كيف يقضون يومهم واشوف ما وراء الكميرا .😩
",neutral
"@pperry ميسي.
",neutral
"“بيونسيه” وابنتها بأناقة “غوتشي” “ولوران” http://t.co/UCbrKadc18
",positive
"@stephaniegarcia يحل ف شرع مين يا امة الاسلام 🎶📣
",negative
"RT @gbates: اذا ماعليكم امر وعجبكم الهاشتاق عطوني رايكم #نبي_البنوك_يوقفون_اقساطهم_من_رمضان_لذوالحجه
",neutral
"@eharrison هل رأيت الى اين انجرف الاسلام هل نتعبد ونصوم في اعياد اليهود هل تصدق هذا صيام عاشوراء من بدع الوهابيه ان كنت تصدق
",negative
"الممثل الاستثنائي روبرت دينيرو بأسلوبه الخاص يغسل شراع دونالد ترامبhttp://t.co/Cl0pK2NsG3
",neutral
"مشاهير || باراك أوباما يشجع إبنتيه على الإلتحاق بالجيش:  صرح الرئيس باراك أوباما Barack Obama  يوم الأربعاء ... http://t.co/4O9TEGynjt
",positive
"أوباما: تصريحات ترامب مقززة وتمثل اعتداء جنسياً #تونس http://t.co/PLwF1etXG8
",negative
"الفرق بين المرشحين هيلاري كلنتون وترامب ١-هيلا كلنتون 👈🏻عدوا مخفي ٢-ترامب👈🏻عدوا واضح
",negative
"RT @diane24: @diane24 الرئيس #الروسيفلاديمير بوتين :يشرح كيف انشأ اوباما داعش http://t.co/01YT38tNLs
",negative
"أردوغان للعبادي: «اعرف حدودك» ولن نأخذ أوامر بشأن بعشيقةhttp://t.co/FxdKfcQbo1 #ريال_مدريد #برشلونة
",negative
"جالسة اصيد  بوكيمون  في غرفتنا😂😂
",neutral
"خاصية Doze للمحافظة على شحن بطارية الهاتف لأطول مدة ممكنه http://t.co/uMZpIQWVHJ http://t.co/uMZpIQWVHJ
",positive
"كيتي بيري و بيونسيه من اغنيه وحده بس دخلو مليون تقريبا 😐
",positive
"لأول مرة منذ 712 اسبوع بالتحديد في 17/2/2003يشهد تصنيف التنس الصادر اليوم عدم تواجد #فيدرر او #نادال في التوب 5 !!#نهاية_هيمنة !؟#تنس
",neutral
"RT @qgonzalez: وائل الفخراني: لماذا تركت ""جوجل"" لأنضم إلى ""كريم""؟ | مقال مُترجمhttp://t.co/3yo9XdZWbE
",neutral
"موالون يطالبون (بشار الأسد) بجثث قتلاهم في معردس شمال حماة http://t.co/iB50HUCXf6
",negative
"@annette77 @annette77 جستن بيبر ههههههههههههههههههههههههههههههههههههههههههههههههههه مدري تذكرتها قلت اكتبها.
",positive
"RT @bbrown: كيبل آيفونضد القطع😉-شحن ونقل بيانات سريع 👍🏻من أفضل الكيابل👍يتحمل الكرف 😻 ومعتمد من قبل شركة آبل طوله ١.٢للطلب واتس…
",neutral
"فيديو.. هوساوي يتحدث عن تحدي لاعبي السعودية في لقاء الإماراتhttp://t.co/pthgCKPZXk
",neutral
"فيديو: نظرة سريعة على إصدار أندرويد الأخير نوغا Android Nougat 7.0 الجديد - http://t.co/fZza0K82Ll
",positive
"الخارجية الامريكية القوات الأجنبية في العراق يجب أن تكون بموافقة #بغداد#تركيا #العبادي #اردوغان http://t.co/JzLtZA21QE
",positive
"يصير اقول فلم 🙊 توايلايت -هاري بوتر -قراصنة الكاريبي 🚶 http://t.co/u2CNtMlE1S
",neutral
"@scott45 فعلا بوكيمون تطور 😂
",positive
"RT @krista82: #الاهلي_برشلونهميسي في تصريح للاكازيتا دي سبورت:"" من المهيب مواجهة عقيل بالغيث…اتمنى ان لا يكون في احسن مستوياته…ا…
",positive
"والله مشكله الارجنتين بدون ميسي! الحمدلله ان التصفيات طويله ويمديه يرجع ولا صعبه التأهل!!!
",neutral
"جوجل تنافس أبل وسامسونج بهاتف جديد http://t.co/UuqIrYZJp4
",positive
"(إن الأبرار لفي نعيم) [المطففين:22] #ريال_مدريد
",positive
"مبروك ل هيلارى كلنتون للرئاسة امريكا
",positive
"شاهد #زبون #فرنسي غاضب يقتحم أحد متاجر #شركة_أبل  http://t.co/J7UjtEoZkR  #تكنولوجيا  @robinsonalexandra http://t.co/J7UjtEoZkR
",negative
"اخبار برشلونة اليوم Sunday 9/10/2016 : توستاو: “نيمار أفضل لاعب في تاريخ البرازيل بعد بيليه” http://t.co/6SAkWl23bN
",positive
"‘غوغل واي فاي’… إنترنت سريع لأرجاء المنزل http://t.co/o2Vxq3gts1
",positive
"@kimberly25 @kimberly25 كلام جميل يافاطمةلكن في الواقعلماذا يقوم الشيعة بالتنكيل بأهل السنة بالعراق على أساس طائفيhttp://t.co/XpP4ltDsuR
",negative
"RT @williamsmaria: #حملة_امن_وطني_امني_انا من الحقوق الشرعية للمواطنة تجاه وطنناالحبيب نشرالخيروالتكاتف بين أفراده والدفاع عنه ضدأعداء الإسلام…
",positive
"RT @kellyrhodes: التلميذ ليونيل ميسي يتابع اسطورته فهد المولد http://t.co/NQDvUYRlFp
",neutral
"#بوابة_الوفدشاهد.. #بيونسيه تنهى أحدى أكبر جولتها فى #نيو_جيرسىhttp://t.co/i0aSXpEIxe http://t.co/i0aSXpEIxe
",neutral
"يتعشّى بالأرز وينام في فراش إسرائيل http://t.co/0TxVZNSYJt
",negative
"RT @steven15: جوجل تختار تطبيق نبض ضمن أفضل التطبيقات لعام 2015!حمل التطبيق الآن http://t.co/mt7plZWwQT http://t.co/mt7plZWwQT
",positive
"RT @paynedaniel: تحميل كتاب باراك أوباما احلام من ابي لكاتبه باراك أوباما ن هذا الرابطhttp://t.co/gIX90NhRsz http://t.co/gIX90NhRsz
",neutral
"م اليوم ورايح أسطورتي ف التنس أندي موراي طبعا بعد روجر فيدرر http://t.co/VlbUNFmPnp
",positive
"@samuel18 انا بيضه بس بلعكس قالولي الأسود احلي عالبشره البيضه لكن شوف بيونسيه سمرا وجاي عليها خيال الاشقر http://t.co/EUiZCax4W5
",positive
"تطبيق لعشاق الكيمياء على أندرويد http://t.co/7eNwkBqOyK
",positive
"@nlynch اخوي يشجع الارجنتين يتمنى خسارتهم اليوم عشان ميسي مايلعب
",negative
"برشلونة: اللاعب جوردي البا يغيب عن الملاعب لأسبوعين http://t.co/2OdeLhy7DB
",negative
"جوجل تستبدل هانج أوت بتطبيقها الجديد Duo على هواتف أندرويد http://t.co/a4UGbCVd7E #البحرين #الكويت #السعودية #الإمارات #قطر #عمان #المنام…
",neutral
"سمعة «أبل» على المحك.. مشكلة حقيقية في «آيفون 7» http://t.co/EK1Z5Ds8UP http://t.co/EK1Z5Ds8UP
",negative
"@cookdawn ابو جستن وش الإبداع في صياغة المشاعر غطيت على جستن بيبر
",positive
"RT @james13: #إيران تطالب بممر جوي لنقل جرحى مجزرة #صنعاءhttp://t.co/fgqHSAdkNT
",negative
"= للذكرى والتذكرة من العام 2012= علشان كده سيسى عايز يخفض الخصوبة بتاعة المصريين والمصريات= مش هايحط كافور بس... http://t.co/KyhgTPxmd6
",negative
"عطر ""غوتشي بامبو"" الجديد يحاكي الطيور http://t.co/IHCn1TuiMU http://t.co/IHCn1TuiMU
",positive
"عاد آجا هتآخذ راحتها أكثر مع فيدرر ياليت هالمرة iptl يحطوها مع فريقالمايسترو بتكون وديات ديسمبر حدثكبير عندي في… http://t.co/26rN45XVUG
",positive
"بالصور: باراك أوباما يعايد ميشيل في ذكرى زواجهما الـ 24http://t.co/bx5NBtHhKY http://t.co/bx5NBtHhKY
",positive
"@jenningsmiguel غير غوتشي ماحط
",positive
"فافرينكا عندما سئل عن ما يتمناه لرياضةالتنس في الاعوام المقبلة ؟ رد فافرينكا :""ان يكون روجر فيدرر بصحة جيدة"" .- روجر هو كمال التنس ❤️.
",positive
"مافزنا لافي ايفون ولاشناط والحظ ماش يختي مابي مبلغ ابيك تردين علي برساله والله المبلغ محتاجته بس احس اني لو رديتي تهون @zwalton
",negative
"أبل والجسار تفقدا مدينة «صباح الأحمد»: تذليل الصعوبات لاستكمال الخدمات في المدينة<br /> - محليات - http://t.co/8BPNnQMR2X
",positive
"RT @portertammy: حملة سورية لجمع مليون دولار تعيد إرث #نوبل لـ""الخوذ البيضاء""http://t.co/dZeMvICguK #حلب http://t.co/dZeMvICguK
",positive
"روجر فيدرر هو اعظم لاعب تنس ف التاريخ لاشك ف هذا ! من اسباب تميزه ايضا "" اخلاقه ""روجر قبل 5 سنوات يعطى درسا فى... http://t.co/nTALOBgt6k
",positive
"إذا فتحت أي أغنية أجنبية عاليوتيوب وشغلت الأوتو بلاي حينتهي بك المطاف لأغاني جستن بيبر لامحالة.#مغص
",neutral
"RT @philliportega: #أمازون ترسل رسائل بريدإلكتروني للعديد من مستخدميها لإبلاغهم بأنها قامت بتغيير بعض إعدادات الحساب بسبب بعض التسريباتhttp://t.co/jmPfHa5Chz
",neutral
"@thompsonnichole قدني اتخطيتو و قاعده اقرا كتاب هاري بوتر 🌞
",positive
"#التحرير | القبض على اثنين من سماسرة الهجرة غير الشرعية في كفر الشيخhttp://t.co/0PgALCtpIK http://t.co/0PgALCtpIK
",positive
"وجهان لعملة واحدة اسمها #امريكاسواءً هيلاري كلنتون او ترامب فكلاهما يعملون بخطة واحدة وهي دمار #العالم http://t.co/BaDQXAgulG
",negative
"قال رسول الله صلى الله عليه وسلم :«الصلوات الخمس، والجمعة إلى الجمعة، ورمضان إلى رمضان، مكفرات ما بينهم إذا اجتنبت الكبائر» #نشر_سيرته #ﷺ
",positive
"#صحيفة_الوئام أسوس «زين فون 3» أسرع هاتف أندرويد في الولايات المتحدة http://t.co/cTDng56jHo #عاصفة_الحزم
",positive
"تقسيم #سورية في انتظار الحل؟#سوريا #سورية http://t.co/x2ZAtifTzk
",neutral
"RT @daviesjohn: نحن مع مصر بالطبع مصر لن تركع مهما حاول السيسي في ان يجعلها تركع لروسيامصر لن تركع يا سيسي   #مصر_لن_تركع
",positive
"الارجنتين بدون ميسي مضحكه 😂😂
",negative
"RT @patrick09: فيصل القاسم: لماذا يستعرض بوتين إس٣٠٠ و٤٠٠ وباقي اسلحته فقط في سوريا ولانرى هذا في العراق ؟لأن تدخلها بسوريا هو بمواف…
",negative
"إخفاء محادثة مع شخص محدد على WhatsApp http://t.co/EDMfCzUZxR #WhatsApp #تطبيقات http://t.co/EDMfCzUZxR
",positive
"من قال بأن غـوغل ليست شركة رائعة ؟ http://t.co/YsLfmG8dQr
",positive
"لانكم كلكم خونه ومتأمرين السعوديه من ساعد السيسي بنقلابه حكام الخليج هم رأس الفتنه العراق ليبيا سورياوتحالفاتهم الق… http://t.co/TnQPrheMz1
",negative
"RT @qcook: العربية:⁧#طه_الياسين⁩ ؛مَن أعدمتهم ⁧#إيران⁩ من الشعوب أكثر ممن ذكرهم الإعلام.@qcook  http://t.co/3ocvTCnzxj
",negative
"#اردوغان قال لروتانا لااستطيع تأيد الانقلاب فى #مصر والا اكون متناقض مع نفسي و #السيسي لايستطيع تاييد الثورة فى #سوريا والا سيتناقض مع نفسه
",negative
"جنوبي السعودية : اعتراض صاروخ باليستي ""حوثي"" - http://t.co/6yZYQ9dtU7 http://t.co/6yZYQ9dtU7
",negative
"وكيل رمضان صبحي يصف اللاعب بالاستثنائي ويوضح الفرق بينه وبين صلاح.. - http://t.co/k2bMnHteao
",positive
"RT @katherinetorres: شكراً #بشارآثرتهم على نفسك .و زفَفتهم للجنة شهيداً تلو #شهيد وألقيت بنفسِك في حفرةٍ مهما أمتلأت /تصرخ :( هل من مزيد ؟…
",negative
"بالصور: باراك أوباما وزوجته ميشال يحتفلان بعيد ميلاد زواجهما الـ 24 http://t.co/HOXynbLw3F
",positive
"RT @smithashley: “الحياة” السعودية تهاجم السيسي: مصر تعيش أوهام قيادة العالم العربي http://t.co/H2fxv8KjET http://t.co/H2fxv8KjET
",negative
"RT @walkerariana: ابك يولد هاري بوتر فلم للورعان شجرة تمشي وضفدع يتكلم ميخييييس http://t.co/0uYQoceV93
",neutral
"@james01 الصيف كله اجازه استاذ بس الحلو رمضان دواااام 👌🏼
",positive
"جوجل تعمل على دمج نظام أندرويد في السيارات http://t.co/BtzNYMGSVJ
",positive
"RT @kbates: اصبح واضح جدا انه تم ترشيح دونالد ترامب لانتخابات الرياسة الامريكية حتى تربح هيلاريهي ديه الديمقراطية: ما تتعبش الناخب وأعط…
",negative
